"assembly_barcode","source_type","species","ST"
"ESC_FC9299AA_AS","Human","Escherichia coli",131
"ESC_FC9301AA_AS","Human","Escherichia coli",131
"ESC_FC9307AA_AS","Human","Escherichia coli",131
"ESC_FC9308AA_AS","Human","Escherichia coli",131
"ESC_FC9309AA_AS","Human","Escherichia coli",131
"ESC_FC9315AA_AS","Human","Escherichia coli",131
"ESC_FC9316AA_AS","Human","Escherichia coli",131
"ESC_FC9323AA_AS","Human","Escherichia coli",131
"ESC_FC9330AA_AS","Human","Escherichia coli",131
"ESC_FC9332AA_AS","Human","Escherichia coli",131
"ESC_FC9350AA_AS","Human","Escherichia coli",131
"ESC_FC9355AA_AS","Human","Escherichia coli",131
"ESC_FC9406AA_AS","Human","Escherichia coli",131
"ESC_FC9426AA_AS","Human","Escherichia coli",131
"ESC_FC9443AA_AS","Human","Escherichia coli",131
"ESC_FC9461AA_AS","Human","Escherichia coli",131
"ESC_FC9474AA_AS","Human","Escherichia coli",131
"ESC_FC9475AA_AS","Human","Escherichia coli",131
"ESC_FC9477AA_AS","Human","Escherichia coli",131
"ESC_FC9479AA_AS","Human","Escherichia coli",131
"ESC_FC9482AA_AS","Human","Escherichia coli",131
"ESC_FC9485AA_AS","Human","Escherichia coli",131
"ESC_FC9495AA_AS","Human","Escherichia coli",131
"ESC_FC9505AA_AS","Human","Escherichia coli",131
"ESC_FC9525AA_AS","Human","Escherichia coli",131
"ESC_FC9532AA_AS","Human","Escherichia coli",131
"ESC_FC9535AA_AS","Human","Escherichia coli",131
"ESC_FC9554AA_AS","Human","Escherichia coli",131
"ESC_FC9571AA_AS","Human","Escherichia coli",131
"ESC_FC9575AA_AS","Human","Escherichia coli",131
"ESC_FC9576AA_AS","Human","Escherichia coli",131
"ESC_FC9577AA_AS","Human","Escherichia coli",131
"ESC_FC9579AA_AS","Human","Escherichia coli",131
"ESC_FC9590AA_AS","Human","Escherichia coli",131
"ESC_FC9596AA_AS","Human","Escherichia coli",131
"ESC_FC9613AA_AS","Human","Escherichia coli",131
"ESC_FC9616AA_AS","Human","Escherichia coli",131
"ESC_FC9632AA_AS","Human","Escherichia coli",131
"ESC_FC9634AA_AS","Human","Escherichia coli",131
"ESC_FC9676AA_AS","Human","Escherichia coli",131
"ESC_FC9679AA_AS","Human","Escherichia coli",131
"ESC_FC9694AA_AS","Human","Escherichia coli",131
"ESC_FC9697AA_AS","Human","Escherichia coli",131
"ESC_FC9699AA_AS","Human","Escherichia coli",131
"ESC_FC9701AA_AS","Human","Escherichia coli",131
"ESC_FC9702AA_AS","Human","Escherichia coli",131
"ESC_FC9727AA_AS","Human","Escherichia coli",131
"ESC_FC9739AA_AS","Human","Escherichia coli",131
"ESC_FC9744AA_AS","Human","Escherichia coli",131
"ESC_FC9759AA_AS","Human","Escherichia coli",131
"ESC_FC9800AA_AS","Human","Escherichia coli",131
"ESC_FC9810AA_AS","Human","Escherichia coli",131
"ESC_FC9829AA_AS","Human","Escherichia coli",131
"ESC_FC9831AA_AS","Human","Escherichia coli",131
"ESC_FC9844AA_AS","Human","Escherichia coli",131
"ESC_FC9848AA_AS","Human","Escherichia coli",131
"ESC_FC9852AA_AS","Human","Escherichia coli",131
"ESC_FC9853AA_AS","Human","Escherichia coli",131
"ESC_FC9864AA_AS","Human","Escherichia coli",131
"ESC_FC9888AA_AS","Human","Escherichia coli",131
"ESC_FC9890AA_AS","Human","Escherichia coli",131
"ESC_FC9892AA_AS","Human","Escherichia coli",131
"ESC_FC9897AA_AS","Human","Escherichia coli",131
"ESC_FC9898AA_AS","Human","Escherichia coli",131
"ESC_FC9899AA_AS","Human","Escherichia coli",131
"ESC_FC9900AA_AS","Human","Escherichia coli",131
"ESC_FC9902AA_AS","Human","Escherichia coli",131
"ESC_FC9904AA_AS","Human","Escherichia coli",131
"ESC_FC9906AA_AS","Human","Escherichia coli",131
"ESC_FC9932AA_AS","Human","Escherichia coli",131
